2022-04-22 14:15:16,920 INFO 4559 [egg-logview] mount log /Users/xiongcheng/azure/MyBizIntouch/Intouch-Coach-App/logs at http://127.0.0.1:7001/__logs
2022-04-22 14:17:00,600 INFO 4559 [-/192.168.0.104/-/6ms GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085] [access] 192.168.0.104: - GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 HTTP/200 1943 - 4 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:17:01,277 INFO 4559 [-/192.168.0.104/-/223ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 220 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:17:01,616 INFO 4559 [-/192.168.0.104/-/161ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 160 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:19:04,427 INFO 4559 [-/192.168.0.104/-/335ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 334 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:19:05,546 INFO 4559 [-/192.168.0.104/-/769ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 769 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:19:09,279 INFO 4559 [-/192.168.0.104/-/6ms GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085] [access] 192.168.0.104: - GET /diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 HTTP/200 1943 - 4 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:19:10,282 INFO 4559 [-/192.168.0.104/-/652ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 647 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:19:11,284 INFO 4559 [-/192.168.0.104/-/870ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 855 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:25:17,525 INFO 4559 [-/192.168.0.104/-/282ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 281 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
2022-04-22 14:25:17,985 INFO 4559 [-/192.168.0.104/-/147ms GET /getAccessToken] [access] 192.168.0.104: - GET /getAccessToken HTTP/200 169 http://192.168.0.104:7001/diq_level50?fullscreen=true&title=&opaque=false&progress_hidden=true&busy_hidden=false&ImpersonatedContactID=20003191085&monthKey=202109&isEmployee=false&loginName=%E5%AD%9F%E5%85%B5&targetContactId=20016466979&levelCode=50&followed=20003191085 147 - Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36
